pre_path,post_path,mapping_status,mapping_source,site_section,page_group,content_group,page_type,page_name,xlsx_notes,pre_in_crawl,pre_word_count,pre_indexable,pre_title,pre_h1,pre_has_text,pre_has_source,pre_has_embedding,post_in_crawl,post_word_count,post_indexable,post_title,post_h1,post_has_text,post_has_source,post_has_embedding
/articles/high-value-destinations-for-canadian-travellers,/articles/high-value-destinations-for-canadian-travellers,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,High-Value Destinations for Canadian Travellers,High-Value Destinations for Canadian Travellers,TRUE,TRUE,TRUE,TRUE,2212,Indexable,5 Cheap Countries to Visit from Canada,5 Cheap Countries to Visit from Canada,TRUE,TRUE,TRUE
/articles/quick-trips-hinton,/articles/quick-trips-hinton,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Hinton is for Adventurers | AMA Travel,The Hidden Hinton – An Adventurers’ Paradise,TRUE,TRUE,TRUE,TRUE,2444,Indexable,Hinton is for Adventurers,The Hidden Hinton – An Adventurers’ Paradise,TRUE,TRUE,TRUE
/cruises/ocean/holland-america,/cruises/holland-america,CHANGED,XLSX,Cruises,Cruises,Cruises,Supplier,Cruise Supplier (Holland America),,TRUE,,Indexable,Holland America Line Cruises l AMA Travel,,TRUE,TRUE,TRUE,TRUE,2229,Indexable,Book Holland America Line with AMA Travel,Holland America Line®,TRUE,TRUE,TRUE
/vacation-destinations/north-america/us/hawaii/honolulu,/destinations/honolulu,CHANGED,XLSX,Destinations,Destinations,Destinations,Individual Destination,Honolulu,,TRUE,,Indexable,"Honolulu Vacation Rentals, Hotels, Flights & Things to do  | AMA Travel",Honolulu,TRUE,TRUE,TRUE,TRUE,4360,Indexable,"Honolulu, Hawaii","Honolulu, Hawaii",TRUE,TRUE,TRUE
/articles/quick-trips-calgary,/articles/quick-trips-calgary,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Hotel Deals and Things to Do in Calgary | AMA Travel,Hotel Deals and Things to Do in Calgary,TRUE,TRUE,TRUE,TRUE,2735,Indexable,Hotel Deals and Things to Do in Calgary,Hotel Deals and Things to Do in Calgary,TRUE,TRUE,TRUE
/articles/what-is-a-level-3-travel-advisory,/articles/what-is-a-level-3-travel-advisory,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,How a Level 3 Travel Advisory Affects Your Travel Plans | AMA Travel,"So Just What is a Level 3 Travel Advisory, and How Does It Affect Your Travel Plans",TRUE,TRUE,TRUE,TRUE,1668,Indexable,How a Level 3 Travel Advisory Affects Your Travel Plans,"So Just What is a Level 3 Travel Advisory, and How Does It Affect Your Travel Plans",TRUE,TRUE,TRUE
/vacation-packages/goway,/vacation-packages/goway,SAME,XLSX,Vacation Packages,Tour Supplier,Vacation Packages,Supplier,Tour Supplier (Goway),,TRUE,,Indexable,How Goway Gets You There | AMA Travel,Travel Your Way with Goway,TRUE,TRUE,TRUE,TRUE,1548,Indexable,Book Goway Vacations with AMA Travel,Goway Travel®,TRUE,TRUE,TRUE
/articles/strangers-become-travel-buddies-go-solo,/articles/strangers-become-travel-buddies-go-solo,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,How Strangers Become Travel Buddies with Go Solo | AMA Travel,How Strangers Become Travel Buddies with Go Solo,TRUE,TRUE,TRUE,FALSE,,,,,FALSE,FALSE,FALSE
/articles/all-inclusive-family-vacations,/articles/all-inclusive-family-vacations,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,How to Book the Best All-Inclusive Family Vacations | AMA Travel,All-Inclusive Vacations for Families: What to Know before You Book,TRUE,TRUE,TRUE,TRUE,2689,Indexable,How to Book the Best All-Inclusive Family Vacations,All-Inclusive Vacations for Families: What to Know Before You Book,TRUE,TRUE,TRUE
/articles/what-is-an-international-driving-permit,/articles/what-is-an-international-driving-permit,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,How to Get an International Driving Permit | AMA Travel,International Driving Permit: Everything You Need to Know,TRUE,TRUE,TRUE,TRUE,1474,Indexable,Get an AMA International Drivers License (IDP) in Alberta,International Driving Permit: How to Get an IDP and Apply in Alberta,TRUE,TRUE,TRUE
